id,en,fr
noun_1,Ambipom,Capidextre
noun_2,Dartrix,Efflèche
noun_3,Malamar,Sepiatroce
noun_4,Bounsweet,Croquine
noun_5,Obelix,Obélix
noun_6,Fendmender,Réparkrass
noun_7,Dustbrawler,Balayur
noun_8,Klink,Tic
noun_9,Dimflight,Vigidente
noun_10,Cliff hanger,Au bord du gouffre
noun_11,Durant,Fermite
noun_12,dungbomb,bombabouse
noun_13,Seel,Otaria
noun_14,Crockadowndilly,Alligrasporcs
noun_15,Aurorus,Dragmara
noun_16,Medicham,Méditikka
noun_17,Fulliautomatix,Cétautomatix
noun_18,Heatmor,Aflamanoir
noun_19,Maggey Byrde,Maguy Loiseau
noun_20,Larvesta,Pyronille
noun_21,Omastar,Amonistar
noun_22,Morelull,Spododo
noun_23,Chandelure,Lugulabre
noun_24,Charjabug,Chrysapile
noun_25,Beheeyem,Neitram
noun_26,Vase-tly overpowered,Accident vase-culaire
noun_27,Gladgut,Ventreureu
noun_28,Frogadier,Croâporal
noun_29,Choleric,Coudetric
noun_30,pepper imp,Gnome au poivre
noun_31,Flaaffy,Lainergie
noun_32,Hushbogle,Calmeffroi
noun_33,Thermostatix,Pronostix
noun_34,Devolver,Devolver
noun_35,Jellicent,Moyade
noun_36,Hawlucha,Brutalibré
noun_37,Rock 'n' goal,"D'une pierre, deux coups"
noun_38,An ice idea,Une idée qui ne laisse pas de glace
noun_39,Machop,Machoc
noun_40,Escavalier,Lançargot
noun_41,Ruffrunner,Vifagile
noun_42,Mimikyu,Mimiqui
noun_43,Gundromeda Strain,Souche Gundromède
noun_44,Boneshedder,Métamorph-os
noun_45,Plunger,Morto-Piqueur
noun_46,Lil' Bomber,Bombergun
noun_47,Pansear,Flamajou
noun_48,Esoteric,Périféric
noun_49,Quilava,Feurisson
noun_50,Empoleon,Pingoléon
noun_51,Macaroon,Mac Oloch
noun_52,Fearow,Rapasdepic
noun_53,Monferno,Chimpenfeu
noun_54,Shieldon,Dinoclier
noun_55,Claydol,Kaorine
noun_56,Slurpuff,Cupcanaille
noun_57,Drizzile,Arrozard
noun_58,Twiddly diddly,Infinitésifaible
noun_59,Sableye,Ténéfix
noun_60,Bruxish,Denticrisse
noun_61,Crustacius,Gracchus Cétinconcensus
noun_62,Clauncher,Flingouste
noun_63,Crookshanks,Pattenrond
noun_64,Mudkip,Gobou
noun_65,Bookllet,Grimoire
noun_66,Dee Vasquez,Dee Vasquez
noun_67,Grimmauld Place,Square Grimmaurd
noun_68,Arcanine,Arcanin
noun_69,Sandile,Mascaïman
noun_70,Gothita,Scrutella
noun_71,Pangoro,Pandarbare
noun_72,Nihilego,Zéroïd
noun_73,Copsekeep,Gardebois
noun_74,Dewpider,Araqua
noun_75,Felix Platypus,Caius Aérobus
noun_76,screechsnap,cricasse
noun_77,Fibster,Bobardeur
noun_78,Will Powers,Gustavo Lonté
noun_79,Pikipek,Picassaut
noun_80,Flobberworm,Veracrasse
noun_81,Magcargo,Volcaropod
noun_82,Aparecium,aparecium
noun_83,Stonjourner,Dolman
